,workingday,holiday,atemp,humidity,weather,windspeed,season,temp,year,month,hour,log_count
0,0,0,14.395,81,1,8.9981,1,9.84,2011,1,0,2.772588722239781
1,0,0,13.635,80,1,8.9981,1,9.02,2011,1,1,3.6888794541139363
2,0,0,13.635,80,1,8.9981,1,9.02,2011,1,2,3.4657359027997265
3,0,0,14.395,75,1,8.9981,1,9.84,2011,1,3,2.5649493574615367
4,0,0,14.395,75,1,8.9981,1,9.84,2011,1,4,0.0
5,0,0,12.88,75,2,6.0032,1,9.84,2011,1,5,0.0
6,0,0,13.635,80,1,8.9981,1,9.02,2011,1,6,0.6931471805599453
7,0,0,12.88,86,1,8.9981,1,8.2,2011,1,7,1.0986122886681098
8,0,0,14.395,75,1,8.9981,1,9.84,2011,1,8,2.0794415416798357
9,0,0,17.425,76,1,8.9981,1,13.12,2011,1,9,2.6390573296152584
10,0,0,19.695,76,1,16.9979,1,15.58,2011,1,10,3.58351893845611
11,0,0,16.665,81,1,19.0012,1,14.76,2011,1,11,4.02535169073515
12,0,0,21.21,77,1,19.0012,1,17.22,2011,1,12,4.430816798843313
13,0,0,22.725,72,2,19.9995,1,18.86,2011,1,13,4.543294782270004
14,0,0,22.725,72,2,19.0012,1,18.86,2011,1,14,4.663439094112067
15,0,0,21.97,77,2,19.9995,1,18.04,2011,1,15,4.700480365792417
16,0,0,21.21,82,2,19.9995,1,17.22,2011,1,16,4.532599493153256
17,0,0,21.97,82,2,19.0012,1,18.04,2011,1,17,4.204692619390966
18,0,0,21.21,88,3,16.9979,1,17.22,2011,1,18,3.5553480614894135
19,0,0,21.21,88,3,16.9979,1,17.22,2011,1,19,3.6109179126442243
20,0,0,20.455,87,2,16.9979,1,16.4,2011,1,20,3.58351893845611
21,0,0,20.455,87,2,12.998,1,16.4,2011,1,21,3.5263605246161616
22,0,0,20.455,94,2,15.0013,1,16.4,2011,1,22,3.332204510175204
23,0,0,22.725,88,2,19.9995,1,18.86,2011,1,23,3.6635616461296463
24,0,0,22.725,88,2,19.9995,1,18.86,2011,1,0,2.833213344056216
25,0,0,21.97,94,2,16.9979,1,18.04,2011,1,1,2.833213344056216
